gene	type	organ
ROGDI	Confirmed DD Gene	Teeth & Dentitian
RNF168	Possible DD Gene	Brain/Cognition
RNF168	Possible DD Gene	Bone Marrow/Immune 
RNF168	Possible DD Gene	Face
ABHD5	Confirmed DD Gene	Skin
ABHD5	Confirmed DD Gene	Bone Marrow/Immune 
ABHD5	Confirmed DD Gene	Musculature
ABHD5	Confirmed DD Gene	Eye
CRYAA	Confirmed DD Gene	Eye
CRYAB	Possible DD Gene	Musculature
CRYAB	Possible DD Gene	Eye
ALX1	Confirmed DD Gene	Face
RECQL4	Confirmed DD Gene	Skin
RECQL4	Confirmed DD Gene	Eye
RECQL4	Confirmed DD Gene	Skeleton
RECQL4	Confirmed DD Gene	Bone Marrow/Immune 
FGFR1	Confirmed DD Gene	Skeleton
FGFR1	Confirmed DD Gene	Endocrine/Metabolic
FGFR1	Confirmed DD Gene	Face
BCOR	Confirmed DD Gene	Eye
BCOR	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
